Type,B1-Life,1st_Discharge,1st_Charge,1st_IR,1st_Temp,Discharge100-1,Charge100-1,IR100-1,Temp100-1
High,1935,1.0692,1.0687,0.016,34.5454,0.0018695,0.0021801,-0.000127864,0.334435
High,1836,1.0665,1.0659,0.0156,32.7598,0.0019743,0.0037391,-9.99E-05,-0.049385
High,1801,1.0688,1.0685,0.0158,32.6151,0.0023251,0.0024304,-0.000137529,0.109725
High,1642,1.0657,1.065,0.0164,32.6613,0.0032646,0.0039815,-0.000585411,0.962523
High,1638,1.0606,1.0591,0.0155,34.8647,0.0019579,0.0033835,-0.000166999,0.131532
High,1390,1.0489,1.0451,0.015,35.1203,-0.0005039,0.0030449,-0.000208768,0.027909
High,1315,1.0653,1.0638,0.0156,34.856,0.0011585,0.0018723,-0.000237723,0.780112
High,1284,1.0594,1.0593,0.0156,33.017,0.0015198,0.0016106,-0.000242787,0.142159
High,1267,1.06,1.059,0.0149,36.0717,0.0006135,0.001109,-0.00042288,1.342259
High,1227,1.0784,1.0785,0.0168,31.6591,0.0041965,0.0039027,-4.87E-05,-0.261001
High,1226,1.0797,1.0793,0.0164,30.2456,0.0049678,0.0049643,1.39E-05,-0.44845
High,1190,1.0707,1.071,0.0167,31.875,0.0051415,0.0043505,-5.01E-05,-0.315878
High,1179,1.0753,1.0751,0.017,31.6688,0.0053502,0.0053007,4.93E-06,-0.459746
High,1177,1.0799,1.0798,0.0169,31.8254,0.0050447,0.0048831,-4.15E-05,-0.463244
High,1158,1.0602,1.0599,0.0155,35.5876,0.0013493,0.0015514,-0.000168067,0.33213
High,1156,1.0464,1.0461,0.0157,33.8089,0.0031038,0.0032255,-0.00011457,0.196397
High,1155,1.0706,1.0698,0.0156,34.9547,0.0002553,0.0007425,-0.000086694,0.25173
High,1146,1.0675,1.0666,0.0151,35.1045,-0.0004985,0.0003243,-3.93E-05,0.329397
High,1115,1.0623,1.0614,0.0149,36.337,0.0012946,0.0014984,0.000162672,-0.168164
High,1093,1.0626,1.062,0.0155,35.3096,0.0006331,0.0010587,-8.55E-05,0.347436
High,1078,1.0609,1.0587,0.0155,32.4696,0.0014909,0.0047496,-9.29E-05,0.03195
High,1074,1.0761,1.0761,0.0164,30.9986,0.0035983,0.0034255,-8.68E-05,-0.179599
High,1063,1.0642,1.0635,0.0152,34.6654,0.0022777,0.0025211,-0.000140789,0.247558
High,1061,1.0296,1.0263,0.017,32.9249,0.0052208,0.008135,9.54E-05,-0.163958
High,1054,1.083,1.0819,0.017,32.6311,0.0046603,0.005481,-4.67E-05,0.03321
High,1051,1.079,1.0794,0.0169,33.0092,0.0031489,0.0027321,-7.20E-05,0.094351
High,1048,1.0717,1.0711,0.0153,32.024,0.0021586,0.0023841,-0.000120492,0.079906
High,1046,1.0692,1.0685,0.016,33.5603,0.0032185,0.003755,-0.000301357,1.056595
High,1039,1.0684,1.0676,0.0159,33.0459,0.0040456,0.0045829,-2.62E-05,0.095492
High,1028,1.071,1.0702,0.0157,35.5688,0.003435,0.0040774,-4.90E-05,0.288624
High,1017,1.0745,1.0744,0.0167,33.3119,0.0031454,0.0029299,-3.90E-06,0.155209
High,1014,1.0793,1.0796,0.0169,31.902,0.0023643,0.0018328,2.37E-05,0.105942
High,1009,1.0666,1.0661,0.0154,32.1495,0.0028544,0.0030016,-0.000129457,0.028357
High,1002,1.0551,1.0546,0.0159,34.4108,0.0018046,0.0021614,-0.000170208,0.36921
High,989,1.0601,1.0596,0.0158,35.4789,0.0042663,0.0045642,-9.72E-05,0.180085
High,982,1.0245,1.0205,0.0172,32.7034,0.0060706,0.0098102,0.000229091,-0.726173
High,966,1.0833,1.084,0.0168,33.4184,0.0024539,0.0018424,1.08E-06,0.065476
High,940,1.0686,1.068,0.0157,33.2741,0.0043284,0.0046699,-8.28E-05,0.122268
High,935,1.0675,1.0667,0.0158,32.2082,0.0035108,0.0040169,-0.000181597,0.019481
High,932,1.0732,1.0725,0.0162,33.1047,0.0023343,0.0028022,-0.000100968,0.19206
High,923,1.0574,1.0572,0.0153,35.6798,0.0003667,0.0004224,-0.000120439,0.324674
