Sample,Type,B1-Life,1st_Discharge,1st_Charge,1st_IR,1st_Temp,Discharge2-1,Charge2-1,IR2-1,Temp2-1,Discharge5-1,Charge5-1,IR5-1,Temp5-1,Discharge10-1,Charge10-1,IR10-1,Temp10-1,Discharge20-1,Charge20-1,IR20-1,Temp20-1,Discharge50-1,Charge50-1,IR50-1,Temp50-1,Discharge100-1,Charge100-1,IR100-1,Temp100-1
2018-04-12-39,High,1935,1.0692,1.0687,0.016,34.5454,0.0009,0.0011,0,0.0063,0.0023792,0.0026911,-9.2593E-05,-0.048904,0.0031419,0.0035827,-0.000121324,-0.159188,0.0032981,0.0037058,-0.000191764,0.065487,0.0029,0.0033,-0.0002,0.2824,0.0018695,0.0021801,-0.000127864,0.334435
2018-04-12-8,High,1836,1.0665,1.0659,0.0156,32.7598,0.001,0.0009,-1.00E-04,-0.0487,0.0024943,0.0029146,-1.35E-04,-0.130634,0.0037851,0.0043126,-0.000158312,-0.107724,0.0031946,0.0048963,-0.000205562,0.016852,0.0039,0.0045,-0.0002,0.2039,0.0019743,0.0037391,-9.9862E-05,-0.049385
2018-04-12-46,High,1801,1.0688,1.0685,0.0158,32.6151,0.0007,0.0007,-0.0001,-0.0317,0.0018183,0.0019417,-0.000120965,-0.07823,0.0025308,0.0026632,-0.000144136,-0.092447,0.0028513,0.0031029,-0.000195884,0.056251,0.0033,0.0035,-0.0002,0.2486,0.0023251,0.0024304,-0.000137529,0.109725
2018-04-12-43,High,1642,1.0657,1.065,0.0164,32.6613,0.0012,0.0015,0,0.0315,0.0028903,0.0035196,-0.000077166,0.019685,0.003422,0.0040745,-0.000102615,-0.02942,0.0039729,0.0046495,-0.000194956,0.139488,0.0042,0.0049,-0.0002,0.3333,0.0032646,0.0039815,-0.000585411,0.962523
2018-04-12-17,High,1638,1.0606,1.0591,0.0155,34.8647,0.0004,0.0002,0,-0.0363,0.001938,0.0033719,-0.000113906,-0.081668,0.0029999,0.004555,-0.000168125,-0.123771,0.0036147,0.0051254,-0.000190143,-0.055754,0.0034,0.0048,-0.0002,0.1263,0.0019579,0.0033835,-0.000166999,0.131532
2018-04-12-38,High,1390,1.0489,1.0451,0.015,35.1203,-0.0023,0.0003,-1.00E-04,0.2899,-0.00078,0.002594,-1.26E-04,-0.181554,-0.0001496,0.0036168,-0.000233643,-0.236596,0.000387,0.0039347,-0.000245551,-0.162992,0.0010,0.0045,-0.0002,0.0216,-0.0005039,0.0030449,-0.000208768,0.027909
2018-04-12-18,High,1315,1.0653,1.0638,0.0156,34.856,0.0012,0.0012,-1.00E-04,-0.009,0.0028428,0.003381,-1.32E-04,-0.056728,0.0036212,0.0043312,-0.000164472,-0.04462,-2.75E-05,-0.0001551,-0.000172449,0.004889,0.0021,0.0028,-0.0002,0.2167,0.0011585,0.0018723,-0.000237723,0.780112
2018-04-12-34,High,1284,1.0594,1.0593,0.0156,33.017,0.0009,0.0008,-1.00E-04,-0.012,0.0022887,0.002312,-1.68E-04,-0.070158,0.0030503,0.0032699,-0.000246094,-0.064639,0.0033549,0.0034717,-0.000249531,0.007656,0.0031,0.0031,-0.0003,0.1249,0.0015198,0.0016106,-0.000242787,0.142159
2018-04-12-3,High,1267,1.06,1.059,0.0149,36.0717,0.0008,0.0009,0,0.0699,0.0019584,0.002056,-0.00010064,-0.065975,0.0027875,0.0032621,-0.000310588,0.072578,0.0028061,0.0031527,-0.00022851,0.207396,0.0024,0.0028,-0.0002,0.5156,0.0006135,0.001109,-0.00042288,1.342259
2017-05-12-5,High,1227,1.0784,1.0785,0.0168,31.6591,0.0006,0.0004,-1.00E-04,0.0231,0.0023526,0.0021787,-1.16E-04,-0.00036,0.0035838,0.0034266,-0.000161453,-0.002466,0.0044415,0.0042117,-0.000108904,-0.315668,0.0051,0.0049,-0.0002,-0.2425,0.0041965,0.0039027,-4.874E-05,-0.261001
2017-05-12-4,High,1226,1.0797,1.0793,0.0164,30.2456,0.0015,0.0014,-0.0001,0.0678,0.003412,0.0033956,-0.000108214,0.086101,0.0046241,0.0046198,-0.000181274,-0.050979,0.0052816,0.0052698,-7.1093E-05,-0.42223,0.0060,0.0060,-0.0001,-0.3272,0.0049678,0.0049643,1.389E-05,-0.44845
